Abstract  Purpose: To investigate the effect of diclofenac, a potent nonsteroidal anti-inflammatory drug, formulated in hyaluronan (diclofenac/HA) on angiogenesis in vitro and its intraocular toxicity in vivo. Methods: The effect of diclofenac/HA on angiogenesis was determined by choriocapillary endothelial cells on Matrigel stimulated by vascular endothelial growth factor (VEGF). The tube areas were quantified by image digital analysis. For toxicity study, diclofenac/HA was injected intravitreally with a dose range from 100 to 1080 µg in 26 rabbits following gas compression vitrectomy. Potential toxicity was assessed by indirect ophthalmoscopy and by histological studies (light and electron microscopy). Retinal function was monitored by electroretinography (ERG) in six rabbits that received 400 µg of diclofenac/HA. Results: Diclofenac/HA, 180, 90 µg/ml, inhibited tube formation to 24�nd 55�f the standard group (Media Ham’s F12 plus 5�etal calf serum and 50 ng/ml VEGF) respectively (P<0.01). Intravitreal injection of 540 µg or higher doses of diclofenac/HA resulted in ocular toxicity in the rabbit, demonstrated as cataract, vitreous haze and retinal damage observed by indirect ophthalmoscopy and light- and electron- microscopic examinations. No toxicity was observed in the eyes that received 400 µg or less diclofenac/HA, which was further supported by the normal ERG examined at 4 and 25 days post injection. Conclusions: Diclofenac/HA inhibits tube formation in vitro and is nontoxic to the rabbit retina at concentrations that are inhibitory to tube formation. Our results suggest diclofenac/HA may be an effective candidate to inhibit ocular neovascularisation related to granulomatous reaction in the eye.
vascular endothelial growth factor1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vascular_endothelial_growth_factor

toxicity                      0.9090813602139951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

etal                          0.7463485645050485^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Etal                  

standard group                0.9999542251716391^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Standard_Group        

toxicity                      0.9090813602139951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

Matrigel                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Matrigel              

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

toxicity                      0.9090813602139951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

angiogenesis                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Angiogenesis          

vitrectomy                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitrectomy            

VEGF                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vascular_endothelial_growth_factor

ocular                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

Diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

ophthalmoscopy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmoscopy        

hyaluronan                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

cataract                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cataract              

ocular                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

VEGF                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vascular_endothelial_growth_factor

ophthalmoscopy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmoscopy        

toxicity                      0.9090813602139951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

The tube                      0.9958570749655926^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/The_Tube_Music_Network

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

electron                      0.999998543526923^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Electron_microscope   

rabbit                        0.9999999999572537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

nonsteroidal anti-inflammatory drug1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Non-steroidal_anti-inflammatory_drug

electroretinography           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electroretinography   

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

nontoxic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Toxicity              

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

endothelial cells             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

inhibitory                    0.9999996732288389^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Neuron                

eye                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

ERG                           0.999741860014158^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ergative_case         

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

angiogenesis                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Angiogenesis          

HA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyaluronan            

