Abstract  Injection molding technology and its different modifications represent established processes for manufacturing polymer products with high accuracy in large scale production. Enhanced machine and tool technologies like evacuation units and special temperization systems have already been adapted to the molding of microstructures with high aspect ratios. Cycle times are actually in the range of minutes and depend on the geometry of the microstructures and the materials used. Based on injection molding of lost plastic microforms new processes for the manufacturing of ceramic or metal microstructures are being developed.
manufacturing       0.7596904053551081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Manufacturing         

plastic                       0.5611003276384379^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plastic               

geometry                      0.9999451718418378^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Geometry              

microstructures               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microstructure        

aspect ratios                 0.99999986770616^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Aspect_ratio          

molding                       0.9985346811035163^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molding_(process)     

ceramic                       0.9999998701227439^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ceramic               

microstructures               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microstructure        

polymer                       0.9999999999974989^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Polymer               

metal                         0.9999850279716478^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metal                 

microforms                    0.9999999999997158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microform             

injection molding             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Injection_molding     

manufacturing                 0.7596904053551081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Manufacturing         

microstructures               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microstructure        

technology                    0.9997795147859139^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Technology            

Injection molding             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Injection_molding     

