Abstract  Soils from valley oak (Quercus lobata Nee) riparian areas of the Cosumnes River Nature Conservancy Preserve near Sacramento, California were added to growth medium of valley oak seedlings grown in a greenhouse or in agricultural fields at Cosumnes which probably once supported valley oak trees and are now replanted with native riparian vegetation or allowed to revegetate naturally. Agricultural field soil from the Cosumnes River Preserve was presumed to be low or lacking in ectomycorrhizal inoculum. The study was designed to (1) determine whether valley oak stand soil transfer could cause mycorrhizal infection on valley oak seedlings in an agricultural field and in a greenhouse, (2) describe ectomycorrhizal morphological types formed on valley oak seedlings, and (3) determine whether seedling growth is enhanced more by transfer of natural valley oak stand soil than agricultural field soil. In the field study, transfer of forest soil increased average ectomycorrhizal diversity (2.4 types) more than transfer of agricultural field soil (1.2 types). Valley oak seedlings were responsive to ectomycorrhizal infection in the field study. With increase in mycorrhizal infection there was an increase in shoot growth at the expense of root growth. In the greenhouse study, both percent mycorrhizal infection and mycorrhizal diversity were increased more by transfer of oak forest and woodland soils than agricultural field soil. Eight morphotypes occurred on seedlings in forest and woodland soils but only three morphotypes in agricultural soil. This result strongly suggests that the agricultural field also harbors ectomycorrhizal propagules but forest and woodland soils support a more abundant and diverse ectomycorrhizal flora.
seedling                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seedling              

infection                     0.9982819890515489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_pathology       

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

seedlings                     0.9991588409821264^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seedling              

field study                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Field_research        

Cosumnes River Preserve       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cosumnes_River_Preserve

seedlings                     0.9991588409821264^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seedling              

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

Cosumnes River                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cosumnes_River        

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

seedlings                     0.9991588409821264^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seedling              

valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

infection                     0.9982819890515489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_pathology       

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

field study                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Field_research        

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

morphological                 0.9638802198732576^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Morphology_(biology)  

woodland                      0.9999998999780978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Woodland              

soil                          0.9999794170796903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

Cosumnes                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cosumnes_River        

valley oak                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_lobata        

infection                     0.9982819890515489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_pathology       

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

riparian                      0.999999995960593^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Riparian_zone         

morphotypes                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polymorphism_(biology)

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

morphotypes                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polymorphism_(biology)

soils                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil                  

revegetate                    0.9838500014344203^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Revegetation          

vegetation                    0.9989013572616423^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vegetation            

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

riparian                      0.999999995960593^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Riparian_zone         

soils                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil                  

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

seedlings                     0.9991588409821264^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seedling              

agricultural                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

Sacramento, California        0.9999999846423863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sacramento,_California

greenhouse                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Greenhouse            

greenhouse                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Greenhouse            

